ARABLE,GLCA,h,XXX,x,GC,o,P1,P4,P7,P7,I,L,M,M0.542,M0.342,M0.482
ARABLE,CMCA,l,XXX,x,BK,o,P1,P2,P5,P6,W,L,L,M0.406,M0.151,M0.3
ARABLE,HSEU,m,XXX,x,OE,o,P1,P8,P7,P8,I,L,M,M0.601,M0.175,M0.541
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
ARABLE,GLCA,h,XXX,x,GC,o,P1,P4,P1,P7,I,L,L,M0.542,M0.342,M0.482
ARABLE,HSEU,m,XXX,x,OE,o,P1,P8,P1,P6,I,L,L,M0.616,M0.186,M0.556
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
ARABLE,LVHA,l,XXX,x,LO,o,P1,P2,P1,P8,W,L,L,M0.473,M0.27,M0.41
ARABLE,FLEU,m,XXX,x,JE,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
ARABLE,CMEU,m,XXX,x,BEC,o,P1,P4,P1,P6,W,L,L,M0.495,M0.293,M0.435
ARABLE,LVCR,m,XXX,x,LC,o,P1,P2,P1,P6,W,L,L,M0.468,M0.255,M0.4
ARABLE,VRCR,m,XXX,x,VC,o,P1,P5,P1,P6,W,L,L,M0.561,M0.355,M0.493
ARABLE,PLEU,m,XXX,x,WE,o,P1,P1,P5,P6,EX,L,L,M0.458,M0.227,M0.335
ARABLE,FLDY,m,XXX,x,JD,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P7,W,L,L,M0.471,M0.262,M0.409
ARABLE,CMCA,l,XXX,x,BK,o,P2,P2,P1,P6,W,L,L,M0.511,M0.3,M0.451
ARABLE,LVCR,m,XXX,x,LCR,o,P2,P2,P1,P6,W,L,L,M0.468,M0.255,M0.406
ARABLE,CMCR,m,XXX,x,BCC,o,P2,P2,P1,P6,W,L,L,M0.486,M0.255,M0.426
ARABLE,PLEU,m,XXX,x,WE,o,P2,P2,P1,P6,W,L,L,M0.468,M0.255,M0.398
NON-ARABLE,SCGL,m,XXX,x,ZG,o,P1,P2,P7,P6,W,L,H,M0.468,M0.255,M0.406
ARABLE,CMVR,m,XXX,x,BV,o,P1,P4,P1,P6,W,L,L,M0.444,M0.19,M0.332
ARABLE,VRCR,m,XXX,x,VC,o,P1,P5,P1,P8,W,L,L,M0.556,M0.358,M0.496
ARABLE,LVHA,l,XXX,x,LO,o,P1,P2,P1,P8,W,L,L,M0.417,M0.151,M0.335
ARABLE,KSCC,h,XXX,x,KKV,o,P1,P4,P1,P6,W,L,L,M0.444,M0.19,M0.362
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P8,W,L,L,M0.417,M0.151,M0.325
ARABLE,PLEU,m,XXX,x,WE,o,P1,P2,P1,P6,W,L,L,M0.468,M0.255,M0.4
NON-ARABLE,SCHA,m,XXX,x,ZO,o,P1,P4,P8,P6,W,M,H,M0.444,M0.19,M0.35
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P7,P7,W,L,M,M0.404,M0.151,M0.316
NON-ARABLE,SCGL,m,XXX,x,ZG,o,P1,P2,P7,P6,I,M,H,M0.406,M0.151,M0.317
ARABLE,GLCA,h,XXX,x,GC,o,P1,P4,P7,P7,I,L,M,M0.424,M0.183,M0.335
ARABLE,RGCA,m,XXX,x,RC,o,P2,P2,P1,P7,W,L,L,M0.404,M0.151,M0.314
ARABLE,CMCA,l,XXX,x,BK,o,P2,P2,P1,P6,W,L,L,M0.406,M0.151,M0.315
ARABLE,CMVR,m,XXX,x,BV,o,P2,P4,P1,P6,W,L,L,M0.54,M0.338,M0.48
ARABLE,VRCR,m,XXX,x,VC,o,P2,P5,P1,P6,W,L,L,M0.521,M0.31,M0.452
ARABLE,LVCR,m,XXX,x,LC,o,P2,P2,P1,P6,W,L,L,M0.406,M0.151,M0.315
ARABLE,LVCR,m,XXX,x,LCR,o,P2,P2,P1,P6,W,L,L,M0.406,M0.151,M0.317
ARABLE,FLCA,m,XXX,x,JC,o,P1,P2,P1,P7,W,L,L,M0.404,M0.151,M0.314
ARABLE,RGCA,m,XXX,x,RC,o,P4,P2,P3,P7,W,L,L,M0.404,M0.151,M0.289
ARABLE,CMCR,m,XXX,x,BCC,o,P3,P2,P1,P6,W,L,L,M0.415,M0.151,M0.355
ARABLE,CMCA,l,XXX,x,BK,o,P3,P2,P1,P6,W,L,L,M0.406,M0.151,M0.315
ARABLE,LVCR,m,XXX,x,LCR,o,P3,P2,P3,P6,W,L,L,M0.468,M0.255,M0.378
ARABLE,LVCR,m,XXX,x,LC,o,P3,P1,P1,P6,EX,L,L,M0.458,M0.227,M0.357
ARABLE,LVVR,m,XXX,x,LV,o,P3,P2,P1,P7,W,L,L,M0.471,M0.262,M0.404
NON-ARABLE,LPEU,m,XXX,x,IE,o,P4,P2,P3,P1,W,L,L,M0.439,M0.152,M0.302
ARABLE,RGEU,m,XXX,x,RE,o,P3,P2,P3,P4,W,L,L,M0.403,M0.095,M0.226
ARABLE,CMEU,m,XXX,x,BE,o,P3,P2,P2,P4,W,L,L,M0.403,M0.095,M0.226
ARABLE,LVCR,m,XXX,x,LC,o,P3,P2,P1,P5,W,L,L,M0.422,M0.151,M0.322
ARABLE,ACHA,m,XXX,x,AO,o,P3,P2,P1,P5,W,L,L,M0.422,M0.151,M0.322
